StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,vote2020,Q22,biden_approve_f_1,trump_approve_f_1,avg_f_1,optimism_f_1,unite_f_1,covid_f_1,attention_f,your_yard_f_1,neighbor_yard_f,Q23,biden_approve_nf_1,trump_approve_nf_1,avg_nf_1,optimism_nf_1,unite_nf_1,covid_nf_1,attention_nf,your_yard_nf_1,neighbor_yard_nf,Source Study
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your prolific ID here:,Did you vote in the last US presidential election?,"In a few words, describe what the US flag means to you.","On a scale of 0-10, how well do you think Joe Biden is handling his job as president? Use slider below. - 1","On a scale of 0-10, how well do you think Donald Trump handled his job as president? Use slider below. - 1","On a scale of 0-10, how much do you think Joe Biden cares about average Americans? Use slider below. - 1","On a scale of 0-10, how optimistic are you about the next four years with Joe Biden as president? Use slider below. - 1","On a scale of 0-10, Do you feel that President Biden is doing more to unite the country or to divide the country? Use slider below. - 1","On a scale of 0-10, how would you rate Joe Biden's response to the coronavirus? Use slider below. - 1","When asked for the current year you must enter 2021 in the text box below.

 

Based on the text you read above, what year have you been asked to enter?","If you flew an American flag in your yard, how likely is it that your neighbors would assume your political affiliation? Use slider below. - 1","If your neighbors flew an American flag in their yard, what would you assume their political affiliation to be?","In a few words, describe your ideal breakfast.","On a scale of 0-10, how well do you think Joe Biden is handling his job as president? Use slider below. - 1","On a scale of 0-10, how well do you think Donald Trump handled his job as president? Use slider below. - 1","On a scale of 0-10, how much do you think Joe Biden cares about average Americans? Use slider below. - Strongly agree","On a scale of 0-10, how optimistic are you about the next four years with Joe Biden as president? Use slider below. - 1","On a scale of 0-10, Do you feel that President Biden is doing more to unite the country or to divide the country? Use slider below. - 1","On a scale of 0-10, how would you rate Joe Biden's response to the coronavirus? Use slider below. - 1","When asked for the current year you must enter 2021 in the text box below.

 

Based on the text you read above, what year have you been asked to enter?","If you flew an American flag in your yard, how likely is it that your neighbors would assume your political affiliation? Use slider below. - 1","If your neighbors flew an American flag in their yard, what would you assume their political affiliation to be?",
3/19/2021 10:17,3/19/2021 10:19,0,73.83.21.104,100,128,1,3/19/2021 10:19,R_1NmD4hJy6r6QQRw,,,,,47.6631012,-122.3029022,anonymous,EN,5da947c15854ba0011d3a88b,1,The US flag does not have great meaning to me. ,4,0,2,2,4,6,2021,7,2,,,,,,,,,,,1
3/19/2021 10:19,3/19/2021 10:21,0,76.105.191.241,100,124,1,3/19/2021 10:21,R_25Y30WSPRtQiOB8,,,,,45.48049927,-122.6362991,anonymous,EN,5f223de7dd502e6f2f42b8a1,1,,,,,,,,,,,"Pancakes, bacon, eggs",8,1,8,8,8,9,2021,7,2,1
3/19/2021 10:28,3/19/2021 10:30,0,170.249.178.50,100,76,1,3/19/2021 10:30,R_vYQ5m8LkNoIxER3,,,,,37.75100708,-97.8219986,anonymous,EN,5d65d503db78ac000184b1b3,1,"The flag is the symbol of the United States, it does not have huge significance to me personally, however, I do respect it. ",8,1,10,8,7,10,2021,1,3,,,,,,,,,,,1
3/19/2021 10:29,3/19/2021 10:31,0,174.44.101.8,100,100,1,3/19/2021 10:31,R_3EmvdgqZKE2SBIs,,,,,41.563797,-73.79530334,anonymous,EN,5f9ffbdedf389001027d9b36,1,,,,,,,,,,,"Chocolate chip pancakes with fresh maple syrup, whipped butter, and bacon.",7,0,8,7,9,8,2021,10,2,1
3/19/2021 10:32,3/19/2021 10:33,0,100.11.97.200,100,63,1,3/19/2021 10:33,R_5zhIa2Kq6e1ABSp,,,,,40.23629761,-75.29599762,anonymous,EN,58f390b1e174d70001585a94,1,patriotism,9,0,10,10,8,10,2021,0,3,,,,,,,,,,,1
3/19/2021 10:35,3/19/2021 10:36,0,71.29.18.164,100,61,1,3/19/2021 10:36,R_3knTkn7ELAoxWry,,,,,34.7828064,-84.93319702,anonymous,EN,5484821efdf99b07b28f2300,1,A sign of unity,4,0,5,4,5,6,2021,6,2,,,,,,,,,,,1
3/19/2021 10:35,3/19/2021 10:37,0,173.3.228.229,100,125,1,3/19/2021 10:37,R_3EhSsZBcdEFkgpw,,,,,40.94180298,-73.96520233,anonymous,EN,5ef8a4a91d1dac5fe798bf93,1,"America, Freedom, ",7,3,8,7,9,9,2021,7,3,,,,,,,,,,,1
3/19/2021 10:38,3/19/2021 10:40,0,68.224.200.193,100,121,1,3/19/2021 10:40,R_3ncMItenx8K5TRW,,,,,41.79580688,-72.52410126,anonymous,EN,5fd8c3c3829c45293cfb0430,1,,,,,,,,,,,Cereal and milk.,9,0,10,7,8,10,2021,6,2,1
3/19/2021 10:38,3/19/2021 10:40,0,24.131.1.37,100,129,1,3/19/2021 10:40,R_2zMHXdzYmlAz8uO,,,,,37.56350708,-77.4838028,anonymous,EN,5e2607f255bb34069925b037,1,,,,,,,,,,,Eggs benedict with a mixed berry fruit cup,8,0,5,6,7,9,2021,7,2,1
